        T              Rev             ST             Date            Time              X               Y               Z              Vx              Vy              Vz              Xg              Yg              Zg               A               E               W               i             Node            Long             Lat      
 4.300000E+0001               0  8.304186E+0000        19/03/24        12:43:00 -6.434106E+0003 -4.695109E+0002  3.095491E+0003 -3.267390E+0000  9.967201E-0001 -6.637979E+0000 -6.444054E+0003  4.308523E+0002  3.080383E+0003  7.158783E+0003  4.857492E-0004  1.384986E+0002  9.855573E+0001  3.391231E-0002  1.761749E+0002  2.549902E+0001 
 4.400000E+0001               0  8.554870E+0000        19/03/24        12:44:00 -6.617422E+0003 -4.088273E+0002  2.691396E+0003 -2.841146E+0000  1.025407E+0000 -6.827457E+0000 -6.613885E+0003  5.452699E+0002  2.675862E+0003  7.159627E+0003  5.903870E-0004  1.458186E+0002  9.855523E+0001  3.413815E-0002  1.752870E+0002  2.196000E+0001 
 4.500000E+0001               0  8.805555E+0000        19/03/24        12:45:00 -6.774819E+0003 -3.465423E+0002  2.276732E+0003 -2.403664E+0000  1.050084E+0000 -6.990167E+0000 -6.756938E+0003  6.589311E+0002  2.260832E+0003  7.160369E+0003  6.828793E-0004  1.521532E+0002  9.855479E+0001  3.430420E-0002  1.744302E+0002  1.841850E+0001 
 4.600000E+0001               0  9.056239E+0000        19/03/24        12:46:00 -6.905672E+0003 -2.828995E+0002  1.853125E+0003 -1.956667E+0000  1.070651E+0000 -7.125452E+0000 -6.872659E+0003  7.711555E+0002  1.836922E+0003  7.160999E+0003  7.614297E-0004  1.579489E+0002  9.855442E+0001  3.441859E-0002  1.735978E+0002  1.487503E+0001 
 4.700000E+0001               0  9.306924E+0000        19/03/24        12:47:00 -7.009464E+0003 -2.181480E+0002  1.422237E+0003 -1.501921E+0000  1.087026E+0000 -7.232765E+0000 -6.960606E+0003  8.812639E+0002  1.405795E+0003  7.161506E+0003  8.246989E-0004  1.634280E+0002  9.855413E+0001  3.449024E-0002  1.727843E+0002  1.133004E+0001 
 4.800000E+0001               0  9.557608E+0000        19/03/24        12:48:00 -7.085783E+0003 -1.525415E+0002  9.857610E+0002 -1.041223E+0000  1.099143E+0000 -7.311670E+0000 -7.020455E+0003  9.885819E+0002  9.691436E+0002  7.161882E+0003  8.716758E-0004  1.687160E+0002  9.855391E+0001  3.452875E-0002  1.719846E+0002  7.783922E+0000 
 4.900000E+0001               0  9.808293E+0000        19/03/24        12:49:00 -7.134328E+0003 -8.633701E+0001  5.454112E+0002 -5.763993E-0001  1.106953E+0000 -7.361847E+0000 -7.051994E+0003  1.092444E+0003  5.286838E+0002  7.162121E+0003  9.016351E-0004  1.738926E+0002  9.855377E+0001  3.454422E-0002  1.711942E+0002  4.237059E+0000 
 5.000000E+0001               0  1.005898E+0001        19/03/24        12:50:00 -7.154905E+0003 -1.979400E+0001  1.029180E+0002 -1.092904E-0001  1.110423E+0000 -7.383092E+0000 -7.055133E+0003  1.192196E+0003  8.614624E+0001  7.162220E+0003  9.141234E-0004  1.790150E+0002  9.855372E+0001  3.454712E-0002  1.704086E+0002  6.897933E-0001 
 5.100000E+0001               0  1.030966E+0001        19/03/24        12:51:00 -7.147434E+0003  4.682665E+0001 -3.399795E+0002  3.582515E-0001  1.109540E+0000 -7.375320E+0000 -7.029897E+0003  1.287200E+0003 -3.567299E+0002  7.162177E+0003  9.089552E-0004  1.841304E+0002  9.855375E+0001  3.454811E-0002  1.696239E+0002 -2.857538E+0000 
 5.200000E+0001               0  1.056035E+0001        19/03/24        12:52:00 -7.111944E+0003  1.132638E+0002 -7.815406E+0002  8.243725E-0001  1.104307E+0000 -7.338562E+0000 -6.976429E+0003  1.376839E+0003 -7.982040E+0002  7.161992E+0003  8.862120E-0004  1.892845E+0002  9.855387E+0001  3.455786E-0002  1.688358E+0002 -6.404601E+0000 
 5.300000E+0001               0  1.081103E+0001        19/03/24        12:53:00 -7.048575E+0003  1.792570E+0002 -1.220030E+0003  1.287225E+0000  1.094747E+0000 -7.272966E+0000 -6.894989E+0003  1.460516E+0003 -1.236541E+0003  7.161669E+0003  8.462427E-0004  1.945299E+0002  9.855407E+0001  3.458693E-0002  1.680402E+0002 -9.951053E+0000 
 5.400000E+0001               0  1.106171E+0001        19/03/24        12:54:00 -6.957579E+0003  2.445476E+0002 -1.653725E+0003  1.744976E+0000  1.080896E+0000 -7.178800E+0000 -6.785951E+0003  1.537664E+0003 -1.670019E+0003  7.161212E+0003  7.896670E-0004  1.999361E+0002  9.855434E+0001  3.464558E-0002  1.672327E+0002 -1.349653E+0001 
 5.500000E+0001               0  1.131240E+0001        19/03/24        12:55:00 -6.839316E+0003  3.088798E+0002 -2.080922E+0003  2.195814E+0000  1.062812E+0000 -7.056446E+0000 -6.649806E+0003  1.607742E+0003 -2.096935E+0003  7.160630E+0003  7.173844E-0004  2.056079E+0002  9.855470E+0001  3.474359E-0002  1.664083E+0002 -1.704066E+0001 
 5.600000E+0001               0  1.156308E+0001        19/03/24        12:56:00 -6.694255E+0003  3.720018E+0002 -2.499945E+0003  2.637957E+0000  1.040568E+0000 -6.906400E+0000 -6.487151E+0003  1.670244E+0003 -2.515614E+0003  7.159930E+0003  6.306035E-0004  2.117224E+0002  9.855512E+0001  3.489015E-0002  1.655617E+0002 -2.058299E+0001 
 5.700000E+0001               0  1.181377E+0001        19/03/24        12:57:00 -6.522970E+0003  4.336666E+0002 -2.909148E+0003  3.069661E+0000  1.014253E+0000 -6.729268E+0000 -6.298696E+0003  1.724698E+0003 -2.924413E+0003  7.159124E+0003  5.309280E-0004  2.186158E+0002  9.855560E+0001  3.509369E-0002  1.646867E+0002 -2.412306E+0001 
 5.800000E+0001               0  1.206445E+0001        19/03/24        12:58:00 -6.326138E+0003  4.936329E+0002 -3.306929E+0003  3.489228E+0000  9.839741E-0001 -6.525765E+0000 -6.085254E+0003  1.770673E+0003 -3.321729E+0003  7.158226E+0003  4.206263E-0004  2.270244E+0002  9.855614E+0001  3.536174E-0002  1.637762E+0002 -2.766028E+0001 
 5.900000E+0001               0  1.231514E+0001        19/03/24        12:59:00 -6.104538E+0003  5.516666E+0002 -3.691729E+0003  3.895009E+0000  9.498519E-0001 -6.296711E+0000 -5.847739E+0003  1.807776E+0003 -3.706006E+0003  7.157247E+0003  3.036370E-0004  2.389030E+0002  9.855673E+0001  3.570086E-0002  1.628215E+0002 -3.119399E+0001 
 6.000000E+0001               0  1.256582E+0001        19/03/24        13:00:00 -5.859045E+0003  6.075410E+0002 -4.062042E+0003  4.285415E+0000  9.120236E-0001 -6.043027E+0000 -5.587164E+0003  1.835658E+0003 -4.075740E+0003  7.156206E+0003  1.906101E-0004  2.609611E+0002  9.855736E+0001  3.611647E-0002  1.618121E+0002 -3.472337E+0001 
 6.100000E+0001               0  1.281651E+0001        19/03/24        13:01:00 -5.590627E+0003  6.610383E+0002 -4.416420E+0003  4.658921E+0000  8.706406E-0001 -5.765730E+0000 -5.304632E+0003  1.854017E+0003 -4.429486E+0003  7.155116E+0003  1.291905E-0004  3.136320E+0002  9.855801E+0001  3.661283E-0002  1.607350E+0002 -3.824742E+0001 
 6.200000E+0001               0  1.306719E+0001        19/03/24        13:02:00 -5.300341E+0003  7.119501E+0002 -4.753479E+0003  5.014072E+0000  8.258677E-0001 -5.465927E+0000 -5.001335E+0003  1.862597E+0003 -4.765862E+0003  7.153997E+0003  1.972000E-0004  6.492932E+0000  9.855869E+0001  3.719293E-0002  1.595737E+0002 -4.176486E+0001 
 6.300000E+0001               0  1.331788E+0001        19/03/24        13:03:00 -4.989333E+0003  7.600782E+0002 -5.071905E+0003  5.349491E+0000  7.778830E-0001 -5.144813E+0000 -4.678548E+0003  1.861190E+0003 -5.083556E+0003  7.152865E+0003  3.262802E-0004  2.865371E+0001  9.855937E+0001  3.785844E-0002  1.583067E+0002 -4.527403E+0001 
 6.400000E+0001               0  1.356856E+0001        19/03/24        13:04:00 -4.658823E+0003  8.052356E+0002 -5.370456E+0003  5.663879E+0000  7.268766E-0001 -4.803663E+0000 -4.337621E+0003  1.849640E+0003 -5.381330E+0003  7.151737E+0003  4.697011E-0004  4.057687E+0001  9.856005E+0001  3.860972E-0002  1.569057E+0002 -4.877276E+0001 
 6.500000E+0001               0  1.381924E+0001        19/03/24        13:05:00 -4.310112E+0003  8.472470E+0002 -5.647971E+0003  5.956024E+0000  6.730501E-0001 -4.443830E+0000 -3.979977E+0003  1.827843E+0003 -5.658025E+0003  7.150633E+0003  6.165744E-0004  4.901856E+0001  9.856071E+0001  3.944578E-0002  1.553326E+0002 -5.225806E+0001 
 6.600000E+0001               0  1.406993E+0001        19/03/24        13:06:00 -3.944568E+0003  8.859495E+0002 -5.903371E+0003  6.224804E+0000  6.166156E-0001 -4.066734E+0000 -3.607100E+0003  1.795746E+0003 -5.912565E+0003  7.149568E+0003  7.625613E-0004  5.594331E+0001  9.856135E+0001  4.036430E-0002  1.535342E+0002 -5.572581E+0001 
 6.700000E+0001               0  1.432061E+0001        19/03/24        13:07:00 -3.563624E+0003  9.211931E+0002 -6.135663E+0003  6.469189E+0000  5.577945E-0001 -3.673860E+0000 -3.220536E+0003  1.753350E+0003 -6.143963E+0003  7.148560E+0003  9.048797E-0004  6.208886E+0001  9.856196E+0001  4.136169E-0002  1.514349E+0002 -5.917005E+0001 
